N,graph_name,birth_mutation_rate,independent_mutation_rate,num_simulations,num_steps,start_time_s,end_time_s,diversity,count
100,star,0.001,0.0,10000,10000000,1722089356,1722089494,1,3754
100,star,0.001,0.0,10000,10000000,1722089356,1722089494,2,3788
100,star,0.001,0.0,10000,10000000,1722089356,1722089494,3,1771
100,star,0.001,0.0,10000,10000000,1722089356,1722089494,4,552
100,star,0.001,0.0,10000,10000000,1722089356,1722089494,5,118
100,star,0.001,0.0,10000,10000000,1722089356,1722089494,6,16
100,star,0.001,0.0,10000,10000000,1722089356,1722089494,7,1
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,1,2
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,2,22
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,3,120
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,4,313
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,5,661
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,6,1133
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,7,1552
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,8,1695
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,9,1476
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,10,1206
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,11,774
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,12,521
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,13,278
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,14,151
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,15,59
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,16,26
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,17,9
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,18,1
100,star,0.01,0.0,10000,10000000,1722089361,1722089501,19,1
100,double star,0.001,0.0,10000,10000000,1722089335,1722089471,1,712
100,double star,0.001,0.0,10000,10000000,1722089335,1722089471,2,4058
100,double star,0.001,0.0,10000,10000000,1722089335,1722089471,3,3415
100,double star,0.001,0.0,10000,10000000,1722089335,1722089471,4,1350
100,double star,0.001,0.0,10000,10000000,1722089335,1722089471,5,392
100,double star,0.001,0.0,10000,10000000,1722089335,1722089471,6,66
100,double star,0.001,0.0,10000,10000000,1722089335,1722089471,7,6
100,double star,0.001,0.0,10000,10000000,1722089335,1722089471,8,1
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,2,7
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,3,38
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,4,170
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,5,489
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,6,903
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,7,1358
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,8,1661
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,9,1659
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,10,1387
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,11,961
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,12,684
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,13,352
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,14,184
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,15,94
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,16,37
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,17,11
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,18,2
100,double star,0.01,0.0,10000,10000000,1722089340,1722089476,19,3
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,10,1
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,11,2
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,12,5
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,13,10
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,14,24
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,15,47
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,16,118
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,17,187
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,18,321
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,19,469
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,20,614
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,21,825
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,22,918
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,23,1050
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,24,1056
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,25,979
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,26,909
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,27,699
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,28,585
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,29,415
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,30,314
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,31,163
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,32,128
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,33,73
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,34,42
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,35,27
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,36,13
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,37,3
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,38,2
100,star,0.0,0.001,10000,10000000,1722091291,1722091430,39,1
100,complete,0.0,0.0001,10000,10000000,1722091187,1722091322,1,9532
